"Аймаг","Хүйс","2020","2021","2022","2023"
"Улсын дүн","Бүгд","1,220.6","1,279.4","1,503.8","1,881.8"
"Улсын дүн","Эрэгтэй","1,326.2","1,390.1","1,642.8","2,103.4"
"Улсын дүн","Эмэгтэй","1,109.6","1,163.1","1,360.5","1,651.9"
"Баян-Өлгий","Бүгд","825.0","851.9","943.4","1,247.2"
"Баян-Өлгий","Эрэгтэй","812.1","832.7","908.0","1,260.0"
"Баян-Өлгий","Эмэгтэй","837.4","870.0","976.1","1,236.0"
"Говь-Алтай","Бүгд","901.1","935.5","1,029.6","1,372.6"
"Говь-Алтай","Эрэгтэй","870.7","899.6","967.0","1,336.8"
"Говь-Алтай","Эмэгтэй","927.3","966.8","1,081.6","1,400.1"
"Завхан","Бүгд","916.6","932.8","1,051.4","1,441.4"
"Завхан","Эрэгтэй","911.4","906.6","1,017.3","1,445.7"
"Завхан","Эмэгтэй","920.9","954.6","1,078.1","1,438.0"
"Увс","Бүгд","870.9","905.4","1,021.5","1,372.2"
"Увс","Эрэгтэй","848.2","876.9","988.9","1,371.8"
"Увс","Эмэгтэй","890.6","929.5","1,047.5","1,372.6"
"Ховд","Бүгд","892.8","942.9","1,067.1","1,384.2"
"Ховд","Эрэгтэй","875.3","935.3","1,054.0","1,371.9"
"Ховд","Эмэгтэй","910.7","951.0","1,081.1","1,397.6"
"Архангай","Бүгд","859.9","890.9","996.7","1,337.1"
"Архангай","Эрэгтэй","792.3","808.2","905.7","1,245.6"
"Архангай","Эмэгтэй","905.5","947.8","1,058.5","1,399.5"
"Баянхонгор","Бүгд","863.3","912.0","1,024.5","1,353.2"
"Баянхонгор","Эрэгтэй","833.5","861.7","957.4","1,307.7"
"Баянхонгор","Эмэгтэй","884.9","948.7","1,070.9","1,383.3"
"Булган","Бүгд","857.4","902.2","1,024.1","1,396.4"
"Булган","Эрэгтэй","828.3","864.6","984.2","1,395.5"
"Булган","Эмэгтэй","879.9","932.1","1,053.4","1,397.1"
"Өвөрхангай","Бүгд","891.0","919.7","1,086.7","1,413.7"
"Өвөрхангай","Эрэгтэй","846.5","858.4","1,034.1","1,374.0"
"Өвөрхангай","Эмэгтэй","924.0","964.1","1,122.6","1,440.1"
"Хөвсгөл","Бүгд","853.3","878.8","990.4","1,300.5"
"Хөвсгөл","Эрэгтэй","829.4","845.9","939.2","1,252.1"
"Хөвсгөл","Эмэгтэй","871.5","903.9","1,028.2","1,335.3"
"Орхон","Бүгд","1,628.3","1,723.5","2,013.8","2,505.6"
"Орхон","Эрэгтэй","2,009.7","2,112.3","2,520.2","3,122.0"
"Орхон","Эмэгтэй","1,239.8","1,327.8","1,524.5","1,903.6"
"Дорноговь","Бүгд","1,131.9","1,213.8","1,383.2","1,808.0"
"Дорноговь","Эрэгтэй","1,253.2","1,360.2","1,560.9","2,010.5"
"Дорноговь","Эмэгтэй","1,004.8","1,064.3","1,208.7","1,586.2"
"Дундговь","Бүгд","919.1","970.3","1,095.5","1,422.8"
"Дундговь","Эрэгтэй","895.4","944.1","1,057.1","1,393.4"
"Дундговь","Эмэгтэй","935.7","989.1","1,122.1","1,443.3"
"Өмнөговь","Бүгд","1,220.3","1,264.3","1,748.5","2,383.9"
"Өмнөговь","Эрэгтэй","1,382.1","1,380.6","2,024.8","2,699.6"
"Өмнөговь","Эмэгтэй","980.3","1,062.5","1,264.8","1,795.7"
"Сэлэнгэ","Бүгд","1,043.0","1,130.9","1,315.9","1,657.5"
"Сэлэнгэ","Эрэгтэй","1,115.6","1,244.6","1,468.4","1,802.2"
"Сэлэнгэ","Эмэгтэй","970.8","1,019.4","1,168.8","1,519.2"
"Төв","Бүгд","946.7","1,000.5","1,131.6","1,497.6"
"Төв","Эрэгтэй","937.9","997.0","1,146.6","1,533.5"
"Төв","Эмэгтэй","954.3","1,003.6","1,118.3","1,466.2"
"Дархан-Уул","Бүгд","1,078.0","1,151.1","1,308.5","1,669.0"
"Дархан-Уул","Эрэгтэй","1,200.8","1,281.4","1,454.3","1,887.9"
"Дархан-Уул","Эмэгтэй","952.9","1,013.7","1,161.8","1,454.1"
"Говьсүмбэр","Бүгд","1,177.0","1,271.0","1,480.4","1,885.5"
"Говьсүмбэр","Эрэгтэй","1,316.8","1,424.3","1,699.1","2,114.0"
"Говьсүмбэр","Эмэгтэй","1,039.7","1,121.0","1,274.0","1,670.2"
"Дорнод","Бүгд","1,009.5","1,070.0","1,225.3","1,647.3"
"Дорнод","Эрэгтэй","1,064.5","1,125.9","1,271.4","1,817.7"
"Дорнод","Эмэгтэй","955.5","1,015.2","1,182.8","1,485.9"
"Сүхбаатар","Бүгд","910.8","957.2","1,095.7","1,438.4"
"Сүхбаатар","Эрэгтэй","941.8","980.1","1,119.2","1,488.6"
"Сүхбаатар","Эмэгтэй","883.7","936.5","1,075.5","1,392.0"
"Хэнтий","Бүгд","1,015.3","1,071.7","1,196.1","1,594.2"
"Хэнтий","Эрэгтэй","1,105.4","1,165.9","1,300.7","1,762.9"
"Хэнтий","Эмэгтэй","934.5","984.3","1,104.6","1,455.3"
"Улаанбаатар","Бүгд","1,312.6","1,370.7","1,608.8","1,970.7"
"Улаанбаатар","Эрэгтэй","1,419.6","1,486.2","1,742.3","2,196.4"
"Улаанбаатар","Эмэгтэй","1,193.4","1,243.5","1,464.5","1,725.6"
