province,gndr,y2020,y2021,y2022,y2023,gndr_num
country,all,"1,220.6","1,279.4","1,503.8","1,881.8",
country,0,"1,326.2","1,390.1","1,642.8","2,103.4",0
country,1,"1,109.6","1,163.1","1,360.5","1,651.9",1
Баян-Өлгий,all,825.0,851.9,943.4,"1,247.2",
Баян-Өлгий,0,812.1,832.7,908.0,"1,260.0",0
Баян-Өлгий,1,837.4,870.0,976.1,"1,236.0",1
Говь-Алтай,all,901.1,935.5,"1,029.6","1,372.6",
Говь-Алтай,0,870.7,899.6,967.0,"1,336.8",0
Говь-Алтай,1,927.3,966.8,"1,081.6","1,400.1",1
Завхан,all,916.6,932.8,"1,051.4","1,441.4",
Завхан,0,911.4,906.6,"1,017.3","1,445.7",0
Завхан,1,920.9,954.6,"1,078.1","1,438.0",1
Увс,all,870.9,905.4,"1,021.5","1,372.2",
Увс,0,848.2,876.9,988.9,"1,371.8",0
Увс,1,890.6,929.5,"1,047.5","1,372.6",1
Ховд,all,892.8,942.9,"1,067.1","1,384.2",
Ховд,0,875.3,935.3,"1,054.0","1,371.9",0
Ховд,1,910.7,951.0,"1,081.1","1,397.6",1
Архангай,all,859.9,890.9,996.7,"1,337.1",
Архангай,0,792.3,808.2,905.7,"1,245.6",0
Архангай,1,905.5,947.8,"1,058.5","1,399.5",1
Баянхонгор,all,863.3,912.0,"1,024.5","1,353.2",
Баянхонгор,0,833.5,861.7,957.4,"1,307.7",0
Баянхонгор,1,884.9,948.7,"1,070.9","1,383.3",1
Булган,all,857.4,902.2,"1,024.1","1,396.4",
Булган,0,828.3,864.6,984.2,"1,395.5",0
Булган,1,879.9,932.1,"1,053.4","1,397.1",1
Өвөрхангай,all,891.0,919.7,"1,086.7","1,413.7",
Өвөрхангай,0,846.5,858.4,"1,034.1","1,374.0",0
Өвөрхангай,1,924.0,964.1,"1,122.6","1,440.1",1
Хөвсгөл,all,853.3,878.8,990.4,"1,300.5",
Хөвсгөл,0,829.4,845.9,939.2,"1,252.1",0
Хөвсгөл,1,871.5,903.9,"1,028.2","1,335.3",1
Орхон,all,"1,628.3","1,723.5","2,013.8","2,505.6",
Орхон,0,"2,009.7","2,112.3","2,520.2","3,122.0",0
Орхон,1,"1,239.8","1,327.8","1,524.5","1,903.6",1
Дорноговь,all,"1,131.9","1,213.8","1,383.2","1,808.0",
Дорноговь,0,"1,253.2","1,360.2","1,560.9","2,010.5",0
Дорноговь,1,"1,004.8","1,064.3","1,208.7","1,586.2",1
Дундговь,all,919.1,970.3,"1,095.5","1,422.8",
Дундговь,0,895.4,944.1,"1,057.1","1,393.4",0
Дундговь,1,935.7,989.1,"1,122.1","1,443.3",1
Өмнөговь,all,"1,220.3","1,264.3","1,748.5","2,383.9",
Өмнөговь,0,"1,382.1","1,380.6","2,024.8","2,699.6",0
Өмнөговь,1,980.3,"1,062.5","1,264.8","1,795.7",1
Сэлэнгэ,all,"1,043.0","1,130.9","1,315.9","1,657.5",
Сэлэнгэ,0,"1,115.6","1,244.6","1,468.4","1,802.2",0
Сэлэнгэ,1,970.8,"1,019.4","1,168.8","1,519.2",1
Төв,all,946.7,"1,000.5","1,131.6","1,497.6",
Төв,0,937.9,997.0,"1,146.6","1,533.5",0
Төв,1,954.3,"1,003.6","1,118.3","1,466.2",1
Дархан-Уул,all,"1,078.0","1,151.1","1,308.5","1,669.0",
Дархан-Уул,0,"1,200.8","1,281.4","1,454.3","1,887.9",0
Дархан-Уул,1,952.9,"1,013.7","1,161.8","1,454.1",1
Говьсүмбэр,all,"1,177.0","1,271.0","1,480.4","1,885.5",
Говьсүмбэр,0,"1,316.8","1,424.3","1,699.1","2,114.0",0
Говьсүмбэр,1,"1,039.7","1,121.0","1,274.0","1,670.2",1
Дорнод,all,"1,009.5","1,070.0","1,225.3","1,647.3",
Дорнод,0,"1,064.5","1,125.9","1,271.4","1,817.7",0
Дорнод,1,955.5,"1,015.2","1,182.8","1,485.9",1
Сүхбаатар,all,910.8,957.2,"1,095.7","1,438.4",
Сүхбаатар,0,941.8,980.1,"1,119.2","1,488.6",0
Сүхбаатар,1,883.7,936.5,"1,075.5","1,392.0",1
Хэнтий,all,"1,015.3","1,071.7","1,196.1","1,594.2",
Хэнтий,0,"1,105.4","1,165.9","1,300.7","1,762.9",0
Хэнтий,1,934.5,984.3,"1,104.6","1,455.3",1
capital,all,"1,312.6","1,370.7","1,608.8","1,970.7",
capital,0,"1,419.6","1,486.2","1,742.3","2,196.4",0
capital,1,"1,193.4","1,243.5","1,464.5","1,725.6",1
